name	norad	classification	int_desig	epoch_year	epoch_day	dn_o2	ddn_o6	bstar	set_num	inc	raan	ecc	argp	M	n	rev_num	epoch
COSMOS 2251 DEB	34015	U	93036HA	2022	92.69815286	2.92E-05	0	0.00086231	999	74.0322	176.7032	0.0032015	242.7515	239.1932	14.43592436	68960	45:20.4
COSMOS 2251 DEB	34018	U	93036HD	2022	93.11528969	8.15E-06	0	0.00062777	999	73.8792	214.0831	0.0271151	137.862	37.0123	13.78612703	66064	46:01.0
COSMOS 2251 DEB	34019	U	93036HE	2022	92.81983252	1.76E-05	0	0.00073255	999	73.9602	354.0419	0.0068525	111.6851	310.0576	14.25841725	68234	40:33.5
COSMOS 2251 DEB	34020	U	93036HF	2022	92.78305265	0.00021321	0	0.0030929	999	74.0363	223.2671	0.0031812	299.6447	60.156	14.75623954	70013	47:35.7
COSMOS 2251 DEB	34021	U	93036HG	2022	92.80241035	9.71E-06	0	0.00029285	999	74.0391	129.3438	0.002388	247.3072	232.2584	14.4366912	69113	15:28.3
COSMOS 2251 DEB	34022	U	93036HH	2022	92.82260358	6.69E-06	0	0.00023807	999	74.055	231.507	0.0024244	275.7639	207.2129	14.36104219	68800	44:32.9
COSMOS 2251 DEB	34023	U	93036HJ	2022	92.82249623	9.39E-06	0	0.00032932	999	74.0279	219.9706	0.0020538	285.0207	196.3395	14.36323478	68808	44:23.7
COSMOS 2251 DEB	34024	U	93036HK	2022	92.92216432	4.42E-06	0	0.00016967	999	74.0451	265.0049	0.0022797	290.8223	186.8745	14.3322023	68673	07:55.0
COSMOS 2251 DEB	34026	U	93036HM	2022	92.89052924	9.76E-06	0	0.00085852	999	73.7692	51.8383	0.0360872	127.2088	304.4151	13.60620064	65144	22:21.7
COSMOS 2251 DEB	34028	U	93036HP	2022	92.92674701	6.48E-06	0	0.0007692	999	73.8826	253.5365	0.0551542	256.6606	229.1233	13.18860232	63201	14:30.9
COSMOS 2251 DEB	34029	U	93036HQ	2022	92.80481897	0.00026429	0	0.002114	999	73.9439	236.5061	0.0069038	45.8371	314.846	14.98211785	70957	18:56.4
COSMOS 2251 DEB	34030	U	93036HR	2022	93.14515785	0.00108665	0	0.0012955	999	73.9394	96.2349	0.0045468	209.9176	222.387	15.59344404	72559	29:01.6
COSMOS 2251 DEB	34031	U	93036HS	2022	93.18203168	2.83E-05	0	0.00083602	999	74.0198	153.2047	0.0032362	239.1166	153.8425	14.43626452	69020	22:07.5
COSMOS 2251 DEB	34032	U	93036HT	2022	92.95104321	8.86E-05	0	0.0023041	999	74.0349	166.9444	0.0050218	209.3402	326.7294	14.48974733	68994	49:30.1
COSMOS 2251 DEB	34033	U	93036HU	2022	93.09277867	9.86E-05	0	0.0027274	999	74.0058	200.306	0.006003	173.8958	241.9143	14.45710065	68838	13:36.1
COSMOS 2251 DEB	34035	U	93036HW	2022	92.76388144	3.24E-05	0	0.0011437	999	74.0723	323.8987	0.0057474	314.5217	160.5007	14.34175248	68517	19:59.4
COSMOS 2251 DEB	34036	U	93036HX	2022	92.47327404	7.41E-05	0	0.0021428	999	74.0464	206.8333	0.0044515	233.1207	126.5867	14.44100304	68862	21:30.9
COSMOS 2251 DEB	34037	U	93036HY	2022	92.77906906	1.31E-05	0	0.00051817	999	74.0548	347.759	0.0058733	10.0756	350.1555	14.28904073	68402	41:51.6
COSMOS 2251 DEB	34038	U	93036HZ	2022	93.0732353	9.96E-05	0	0.002239	999	74.0617	109.2906	0.0025868	101.4003	259.0069	14.56346505	69245	45:27.5
COSMOS 2251 DEB	34040	U	93036JB	2022	92.46052509	7.16E-06	0	0.00061743	999	73.9571	124.5039	0.035887	345.4907	13.6105	13.62548108	65174	03:09.4
COSMOS 2251 DEB	34042	U	93036JD	2022	93.05593161	0.00291608	0	0.0038094	999	73.8647	275.4673	0.0019897	170.4906	189.6691	15.57372043	71831	20:32.5
